epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,35.4074,0.78652,1.37457,1.14087,0.80089,0.65,0.85192,0.59888,1.67248,1.2919,1.37862,2.46022e-05,2.46022e-05,2.46022e-05
31,36.556,0.86375,1.45192,1.26586,0.79424,0.65,0.77445,0.52311,1.6708,1.33898,1.37751,2.50971e-05,2.50971e-05,2.50971e-05
32,37.7344,0.98416,1.37584,1.26718,0.79424,0.65,0.77445,0.52311,1.6708,1.33898,1.37751,2.55685e-05,2.55685e-05,2.55685e-05
33,38.8837,0.84533,1.55611,1.31361,0.78055,0.65,0.76681,0.52374,1.64005,1.357,1.36202,2.60163e-05,2.60163e-05,2.60163e-05
34,40.0401,0.7734,1.42924,1.2396,0.78055,0.65,0.76681,0.52374,1.64005,1.357,1.36202,2.64405e-05,2.64405e-05,2.64405e-05
35,41.1735,0.89913,1.48864,1.19398,0.78426,0.65,0.76668,0.52373,1.6571,1.41103,1.37306,2.68412e-05,2.68412e-05,2.68412e-05
36,42.2831,0.78135,1.42892,1.1607,0.78426,0.65,0.76668,0.52373,1.6571,1.41103,1.37306,2.72183e-05,2.72183e-05,2.72183e-05
37,43.4004,0.91379,1.35982,1.35795,0.76966,0.65,0.73601,0.49923,1.66346,1.45234,1.38463,2.75718e-05,2.75718e-05,2.75718e-05
38,44.6292,1.00264,1.70241,1.33876,0.76966,0.65,0.73601,0.49923,1.66346,1.45234,1.38463,2.79018e-05,2.79018e-05,2.79018e-05
39,45.8073,1.00587,2.11723,1.41702,0.65604,0.68713,0.70918,0.47302,1.68855,1.54123,1.39412,2.82082e-05,2.82082e-05,2.82082e-05
40,47.0205,1.03996,1.13895,1.45008,0.65604,0.68713,0.70918,0.47302,1.68855,1.54123,1.39412,2.84911e-05,2.84911e-05,2.84911e-05
41,48.1737,0.78846,1.22744,1.15312,0.64939,0.7,0.69962,0.48196,1.68957,1.59589,1.39338,2.87504e-05,2.87504e-05,2.87504e-05
42,49.3591,0.91434,1.29297,1.29821,0.64939,0.7,0.69962,0.48196,1.68957,1.59589,1.39338,2.89861e-05,2.89861e-05,2.89861e-05
43,50.489,0.52485,2.46273,1.10705,0.56965,0.51663,0.58479,0.36817,1.70353,1.66635,1.3942,2.91983e-05,2.91983e-05,2.91983e-05
44,51.6721,0.92177,1.06011,1.27046,0.56965,0.51663,0.58479,0.36817,1.70353,1.66635,1.3942,2.93869e-05,2.93869e-05,2.93869e-05
45,52.8356,0.65358,0.89381,1.15727,0.59495,0.48333,0.52793,0.30225,1.70833,1.73653,1.3977,2.9552e-05,2.9552e-05,2.9552e-05
46,53.9704,0.94097,1.26104,1.43832,0.59495,0.48333,0.52793,0.30225,1.70833,1.73653,1.3977,2.96935e-05,2.96935e-05,2.96935e-05
47,55.1356,0.84398,0.85244,1.12212,0.58411,0.48333,0.52732,0.31113,1.72332,1.75466,1.41226,2.98114e-05,2.98114e-05,2.98114e-05
48,56.3816,0.73399,1.07136,1.13223,0.58411,0.48333,0.52732,0.31113,1.72332,1.75466,1.41226,2.99058e-05,2.99058e-05,2.99058e-05
49,57.5284,0.92376,1.15888,1.2621,0.60001,0.49809,0.52473,0.30817,1.74648,1.81866,1.42313,2.99766e-05,2.99766e-05,2.99766e-05
50,58.6842,0.83631,0.91213,1.18219,0.60001,0.49809,0.52473,0.30817,1.74648,1.81866,1.42313,3.00238e-05,3.00238e-05,3.00238e-05
51,59.8488,0.77722,1.05854,1.1605,0.60069,0.49827,0.52521,0.30722,1.76032,1.86039,1.42833,3.00475e-05,3.00475e-05,3.00475e-05
52,60.9493,0.82832,0.89865,1.17308,0.60069,0.49827,0.52521,0.30722,1.76032,1.86039,1.42833,3.00476e-05,3.00476e-05,3.00476e-05
53,62.0305,0.65783,0.78355,1.18662,0.60069,0.49827,0.52521,0.30722,1.76032,1.86039,1.42833,3.00242e-05,3.00242e-05,3.00242e-05
54,63.2409,0.84081,1.17178,1.24042,0.76749,0.49999,0.5251,0.30909,1.76289,1.90687,1.4365,2.99772e-05,2.99772e-05,2.99772e-05
55,64.37,0.89698,0.78549,1.18889,0.76749,0.49999,0.5251,0.30909,1.76289,1.90687,1.4365,2.99066e-05,2.99066e-05,2.99066e-05
56,65.5977,0.79861,1.0359,1.14064,0.76749,0.49999,0.5251,0.30909,1.76289,1.90687,1.4365,2.98125e-05,2.98125e-05,2.98125e-05
57,66.7354,0.63252,0.85289,1.06506,0.75594,0.5,0.52018,0.30556,1.75378,1.91662,1.4254,2.96948e-05,2.96948e-05,2.96948e-05
58,67.9153,0.69721,0.72329,1.1451,0.75594,0.5,0.52018,0.30556,1.75378,1.91662,1.4254,2.95535e-05,2.95535e-05,2.95535e-05
59,69.0393,0.83266,0.97993,1.24073,0.75594,0.5,0.52018,0.30556,1.75378,1.91662,1.4254,2.93887e-05,2.93887e-05,2.93887e-05
60,70.1738,1.0164,1.1181,1.4182,0.7555,0.5,0.51769,0.30528,1.78403,1.95954,1.43935,2.92003e-05,2.92003e-05,2.92003e-05
61,71.3225,0.62975,0.8029,1.09156,0.7555,0.5,0.51769,0.30528,1.78403,1.95954,1.43935,2.89884e-05,2.89884e-05,2.89884e-05
62,72.5147,0.66118,0.72111,1.1262,0.7555,0.5,0.51769,0.30528,1.78403,1.95954,1.43935,2.87529e-05,2.87529e-05,2.87529e-05
63,73.6248,1.35596,1.70045,1.7746,0.76426,0.5,0.52118,0.30303,1.7592,2.01114,1.43526,2.84938e-05,2.84938e-05,2.84938e-05
64,74.7808,0.79378,0.93348,1.1473,0.76426,0.5,0.52118,0.30303,1.7592,2.01114,1.43526,2.82112e-05,2.82112e-05,2.82112e-05
65,75.9396,0.86565,0.72438,1.15137,0.76426,0.5,0.52118,0.30303,1.7592,2.01114,1.43526,2.7905e-05,2.7905e-05,2.7905e-05
66,77.0417,0.70326,0.68764,1.15632,0.75596,0.5,0.51892,0.30156,1.80084,2.03883,1.44925,2.75753e-05,2.75753e-05,2.75753e-05
67,78.1197,0.68052,0.59722,1.04351,0.75596,0.5,0.51892,0.30156,1.80084,2.03883,1.44925,2.7222e-05,2.7222e-05,2.7222e-05
68,79.2387,0.89756,1.02865,1.24468,0.75596,0.5,0.51892,0.30156,1.80084,2.03883,1.44925,2.68451e-05,2.68451e-05,2.68451e-05
69,80.4543,0.73413,0.71691,1.15089,0.76891,0.5,0.51846,0.29803,1.80972,2.09315,1.45764,2.64447e-05,2.64447e-05,2.64447e-05
70,81.5731,1.08037,1.25771,1.47947,0.76891,0.5,0.51846,0.29803,1.80972,2.09315,1.45764,2.60207e-05,2.60207e-05,2.60207e-05
71,82.6552,0.62947,0.66892,1.02456,0.76891,0.5,0.51846,0.29803,1.80972,2.09315,1.45764,2.55731e-05,2.55731e-05,2.55731e-05
72,83.8156,0.80624,0.60843,1.03917,0.69537,0.45334,0.47462,0.29765,1.8164,2.17341,1.45926,2.5102e-05,2.5102e-05,2.5102e-05
73,84.9698,0.73592,0.84555,1.14016,0.69537,0.45334,0.47462,0.29765,1.8164,2.17341,1.45926,2.46073e-05,2.46073e-05,2.46073e-05
74,86.0905,0.78092,0.75948,1.16168,0.69537,0.45334,0.47462,0.29765,1.8164,2.17341,1.45926,2.40891e-05,2.40891e-05,2.40891e-05
75,87.3145,0.8796,0.74832,1.33442,0.6998,0.45269,0.47547,0.29212,1.86216,2.30754,1.51272,2.35472e-05,2.35472e-05,2.35472e-05
76,88.4986,0.69969,0.67593,1.08255,0.6998,0.45269,0.47547,0.29212,1.86216,2.30754,1.51272,2.29819e-05,2.29819e-05,2.29819e-05
77,89.581,0.68434,0.67449,1.13204,0.6998,0.45269,0.47547,0.29212,1.86216,2.30754,1.51272,2.23929e-05,2.23929e-05,2.23929e-05
78,90.8158,0.89184,1.07473,1.26268,0.89752,0.37228,0.46064,0.28549,1.88147,2.2654,1.53373,2.17805e-05,2.17805e-05,2.17805e-05
79,91.8777,0.66336,0.67349,1.04753,0.89752,0.37228,0.46064,0.28549,1.88147,2.2654,1.53373,2.11444e-05,2.11444e-05,2.11444e-05
80,93.0687,0.63433,0.58699,0.98827,0.89752,0.37228,0.46064,0.28549,1.88147,2.2654,1.53373,2.04848e-05,2.04848e-05,2.04848e-05
81,94.2289,0.69891,0.87722,1.21518,0.87486,0.38333,0.46128,0.28999,1.8678,2.25323,1.5205,1.98016e-05,1.98016e-05,1.98016e-05
82,95.3932,0.62571,0.50994,1.08704,0.87486,0.38333,0.46128,0.28999,1.8678,2.25323,1.5205,1.90949e-05,1.90949e-05,1.90949e-05
83,96.4521,0.72867,0.86958,1.13488,0.87486,0.38333,0.46128,0.28999,1.8678,2.25323,1.5205,1.83646e-05,1.83646e-05,1.83646e-05
84,97.5995,0.50058,0.54511,1.01353,0.89894,0.37161,0.45875,0.28502,1.86099,2.1771,1.51133,1.76107e-05,1.76107e-05,1.76107e-05
85,98.8101,0.68264,0.82995,1.07402,0.89894,0.37161,0.45875,0.28502,1.86099,2.1771,1.51133,1.68333e-05,1.68333e-05,1.68333e-05
86,99.9596,0.9208,0.95453,1.43159,0.89894,0.37161,0.45875,0.28502,1.86099,2.1771,1.51133,1.60323e-05,1.60323e-05,1.60323e-05
87,101.063,0.88843,0.93976,1.26171,0.89894,0.37161,0.45875,0.28502,1.86099,2.1771,1.51133,1.52077e-05,1.52077e-05,1.52077e-05
88,102.238,0.79142,0.61615,1.24296,0.9006,0.37108,0.45607,0.28479,1.8729,2.17837,1.51028,1.43596e-05,1.43596e-05,1.43596e-05
89,103.333,0.85644,0.8697,1.21168,0.9006,0.37108,0.45607,0.28479,1.8729,2.17837,1.51028,1.34879e-05,1.34879e-05,1.34879e-05
90,104.506,0.70584,0.79481,1.04946,0.9006,0.37108,0.45607,0.28479,1.8729,2.17837,1.51028,1.25927e-05,1.25927e-05,1.25927e-05
91,105.68,0.54616,0.59228,1.14165,0.9006,0.37108,0.45607,0.28479,1.8729,2.17837,1.51028,1.16739e-05,1.16739e-05,1.16739e-05
92,106.901,0.46149,0.43634,0.86798,0.79131,0.5,0.51208,0.29514,1.86022,2.27041,1.52059,1.07315e-05,1.07315e-05,1.07315e-05
93,108.04,0.6401,0.55069,1.25065,0.79131,0.5,0.51208,0.29514,1.86022,2.27041,1.52059,9.76562e-06,9.76562e-06,9.76562e-06
94,109.213,0.62088,0.49755,1.02029,0.79131,0.5,0.51208,0.29514,1.86022,2.27041,1.52059,8.77613e-06,8.77613e-06,8.77613e-06
95,110.349,0.75731,0.68033,1.26771,0.79131,0.5,0.51208,0.29514,1.86022,2.27041,1.52059,7.76308e-06,7.76308e-06,7.76308e-06
96,111.502,0.56941,0.58378,1.05183,0.79179,0.5,0.51587,0.2892,1.82951,2.28054,1.51184,6.72648e-06,6.72648e-06,6.72648e-06
97,112.62,0.47352,0.5057,0.93865,0.79179,0.5,0.51587,0.2892,1.82951,2.28054,1.51184,5.6663e-06,5.6663e-06,5.6663e-06
98,113.847,0.63153,0.55909,1.13865,0.79179,0.5,0.51587,0.2892,1.82951,2.28054,1.51184,4.58257e-06,4.58257e-06,4.58257e-06
99,114.931,0.48055,0.42173,0.89013,0.79179,0.5,0.51587,0.2892,1.82951,2.28054,1.51184,3.47528e-06,3.47528e-06,3.47528e-06
100,116.178,0.49771,0.45514,0.93629,0.78257,0.5,0.50798,0.28755,1.77124,2.22978,1.46642,2.34442e-06,2.34442e-06,2.34442e-06
